Alter_beim_Tod,Zuckerkonsum,Alkoholkonsum,BMI,Sozialstatus,Sport,Raucher,Geschlecht
79,mittel,keiner,24.4,untere Mittelschicht,moderat,nein,divers
81,mittel,moderat,31.1,Mittelschicht,keiner,ja,m
72,mittel,keiner,24.1,untere Mittelschicht,moderat,nein,m
90,mittel,moderat,28.1,obere Mittelschicht,viel,ja,w
70,mittel,keiner,27.2,reich,moderat,ja,m
70,mittel,moderat,23.1,untere Mittelschicht,keiner,nein,m
77,hoch,moderat,17.3,Mittelschicht,viel,nein,w
57,mittel,mittel,22.8,arm,moderat,ja,m
64,hoch,mittel,26.3,Mittelschicht,moderat,nein,m
65,mittel,moderat,19.4,untere Mittelschicht,viel,nein,divers
89,mittel,moderat,24.1,untere Mittelschicht,moderat,ja,divers
75,mittel,moderat,19.3,Mittelschicht,viel,ja,m
69,hoch,moderat,25.4,arm,viel,nein,divers
63,mittel,mittel,26.5,Mittelschicht,viel,nein,w
68,niedrig,mittel,23.8,Mittelschicht,viel,nein,divers
68,mittel,moderat,32.4,reich,moderat,ja,m
74,hoch,keiner,20.8,untere Mittelschicht,moderat,nein,w
83,mittel,hoch,20.1,Mittelschicht,viel,nein,m
77,mittel,keiner,17.2,obere Mittelschicht,viel,nein,w
61,niedrig,moderat,25.8,Mittelschicht,viel,nein,w
82,hoch,mittel,25.7,Mittelschicht,keiner,nein,divers
73,mittel,keiner,23.8,Mittelschicht,keiner,nein,divers
60,hoch,moderat,22.1,Mittelschicht,keiner,nein,w
70,niedrig,moderat,29.2,Mittelschicht,keiner,nein,m
78,hoch,moderat,17.9,untere Mittelschicht,moderat,nein,m
78,niedrig,mittel,23.5,Mittelschicht,moderat,nein,divers
68,mittel,mittel,27.4,Mittelschicht,moderat,nein,divers
85,mittel,moderat,28.7,arm,keiner,nein,divers
66,niedrig,keiner,23.8,Mittelschicht,moderat,nein,w
78,niedrig,moderat,28.9,Mittelschicht,moderat,ja,divers
70,mittel,moderat,24.3,Mittelschicht,moderat,ja,divers
63,mittel,moderat,20.2,Mittelschicht,viel,nein,divers
83,niedrig,moderat,30.4,Mittelschicht,viel,ja,m
74,mittel,keiner,29.0,untere Mittelschicht,moderat,nein,m
78,mittel,mittel,22.4,Mittelschicht,keiner,nein,m
78,hoch,hoch,31.2,obere Mittelschicht,keiner,nein,m
74,hoch,hoch,31.3,untere Mittelschicht,keiner,nein,w
48,niedrig,mittel,28.3,obere Mittelschicht,viel,nein,w
75,niedrig,moderat,23.8,reich,moderat,nein,divers
75,mittel,keiner,17.0,Mittelschicht,viel,nein,m
72,hoch,keiner,26.4,untere Mittelschicht,moderat,nein,m
89,mittel,hoch,22.9,Mittelschicht,moderat,ja,m
66,mittel,moderat,23.0,Mittelschicht,viel,ja,divers
84,mittel,moderat,26.3,untere Mittelschicht,moderat,nein,m
69,niedrig,mittel,27.1,Mittelschicht,keiner,nein,divers
75,niedrig,hoch,28.9,obere Mittelschicht,viel,nein,m
67,mittel,moderat,23.7,Mittelschicht,viel,nein,divers
71,niedrig,mittel,19.1,untere Mittelschicht,moderat,nein,m
77,niedrig,mittel,26.0,obere Mittelschicht,keiner,ja,m
75,mittel,moderat,24.1,Mittelschicht,moderat,nein,m
60,niedrig,moderat,23.3,untere Mittelschicht,keiner,nein,divers
71,hoch,keiner,21.8,Mittelschicht,viel,nein,m
73,niedrig,mittel,26.6,reich,moderat,nein,divers
93,mittel,moderat,25.7,arm,moderat,nein,m
77,hoch,moderat,24.7,untere Mittelschicht,keiner,nein,w
55,hoch,mittel,24.9,reich,moderat,ja,m
75,hoch,keiner,34.9,obere Mittelschicht,moderat,nein,divers
73,hoch,mittel,26.2,untere Mittelschicht,viel,ja,m
74,hoch,moderat,20.3,obere Mittelschicht,moderat,nein,m
86,niedrig,mittel,28.0,Mittelschicht,moderat,ja,w
82,mittel,moderat,21.4,Mittelschicht,viel,nein,m
89,niedrig,hoch,19.4,untere Mittelschicht,viel,ja,m
80,mittel,moderat,33.8,obere Mittelschicht,moderat,nein,m
65,mittel,moderat,22.7,untere Mittelschicht,viel,ja,divers
75,mittel,hoch,23.0,obere Mittelschicht,keiner,nein,divers
59,hoch,mittel,25.3,Mittelschicht,keiner,nein,divers
64,mittel,moderat,26.9,Mittelschicht,moderat,ja,w
65,mittel,moderat,31.2,obere Mittelschicht,keiner,nein,w
67,mittel,keiner,23.7,untere Mittelschicht,moderat,nein,divers
83,mittel,moderat,20.1,Mittelschicht,moderat,nein,divers
77,niedrig,keiner,30.2,Mittelschicht,moderat,nein,m
58,mittel,moderat,25.7,untere Mittelschicht,keiner,ja,w
77,mittel,mittel,28.1,Mittelschicht,viel,nein,divers
62,mittel,moderat,19.7,untere Mittelschicht,moderat,ja,m
